DEGREE,DEGREE_DESCRIPTION
16.2.2,Social History
16.2.3,Other/General Economic & Social History
16.3,History of Art
16.3.1,History of Art and Architecture
16.3.2,History of Fine Art
16.3.3,History of Design
16.3.4,Other/General History of Art n.e.c
16.4,History and Philosophy of Science
16.5,Archaeology
16.5.1,Archaeology of Western Asia
16.5.2,Egyptology
16.5.3,Ancient Mediterranean Studies
16.5.4,Prehistory
16.5.5,Archaeological Conservation
16.5.6,Other/General Arhcaeology n.e.c
16.6,Philosophy
16.6.1,Natural Philosophy
16.6.2,Mental Philosophy
16.6.3,Social Philosophy
16.6.4,Scholastic Philosophy
16.6.5,Moral Philosophy
16.6.6,Metaphysics
16.6.7,Logic
16.6.8,Other/General Philosophy n.e.c
16.7,Theology A Religious Studies
16.7.1,Theology
16.7.10,Social Ethics
16.7.11,Other/General Theology & Religious Studies n.e.c
16.7.2,Divinity
16.7.3,Biblical Studies
16.7.4,Religious Studies
16.7.5,Comparative Religion
16.7.6,Pastoral Studies
16.7.7,Christian Education
16.7.8,Diploma in Theology
16.7.9,Licentiate in Theology
16.8,Other Humanities
16.8.1,Scottish Ethnology
16.8.2,Other Humanities n.e.c
17,Arts
17.1,Fine Art
17.1.1,Visual Arts
17.1.2,Conservation
17.1.3,Conservation of Painting
17.1.4,Other/General Fine Art n.e.c
17.2,Design Studies
17.2.1,Applied Design
17.2.10,Technical Illustration
17.2.11,Book and Book-binding Design
17.2.12,Typography
17.2.13,Textile Design
17.2.14,Clothing Design
17.2.15,Footwear Design
17.2.16,Furniture Design
17.2.17,Knitwear Design
17.2.18,Fashion Design
17.2.19,Fashion/Textile Design
17.2.2,Environmental Design
17.2.20,Carpet Design
17.2.21,Industrial Design
17.2.22,Industrial Glass Design
17.2.23,Architectural Stained Glass Design
17.2.24,Ceramic Design
17.2.25,Surface Pattern Design
17.2.26,Interior Design
17.2.27,Theatre Design
17.2.28,Jewellery Design
17.2.29,Design Management
17.2.3,Integrated Design
17.2.30,Craft Design and Technology
17.2.31,Craft Design and Technology Education
17.2.32,Advertising Design
17.2.33,Environmental Media
17.2.34,Media Design
17.2.35,Display Design
17.2.36,Design and Heritage
17.2.37,Photography
17.2.38,Photographic Science/Technology
17.2.39,Professional Photography
17.2.4,Multi-disciplinary Design
17.2.40,Film and Photographic Art
17.2.41,Animation
17.2.42,Film/Video
17.2.43,Other/General Design studies n.e.c
17.2.5,Graphic Communication
17.2.6,Graphic Design
17.2.7,Graphics
17.2.8,Printing Design
17.2.9,Illustration
17.3,Music
17.3.1,Professional Music
17.3.10,Music Technology
17.3.11,Sound Recording
17.3.12,Other/General Music n.e.c
17.3.2,Music for Performers
17.3.3,Musicianship
17.3.4,Music for Teachers
17.3.5,Light Music
17.3.6,Jazz and Light Music
17.3.7,History of Music
17.3.8,Opera
17.3.9,Ethnomusicology
17.4,Drama
17.4.1,Drama - Oral Skills
17.4.10,Theatre Craft
17.4.11,Dance
17.4.12,Movement Studies
17.4.13,Speech and Drama
17.4.14,Stage Management
17.4.15,Drama Therapy
17.4.16,Other/General Drama n.e.c
17.4.2,Drama - Performers
17.4.3,Drama - Teachers
17.4.4,Drama and Theatre Studies
17.4.5,Creative/Performing Arts
17.4.6,Theatre
